"project","campaignid","sample","latitude","longitude","date","time","location","status","site","depth","observer","successful.count","successful.length","comment"
"Pilbara Marine Conservation Partnership","2014-10_Montebello.sanctuaries_stereoBRUVs","NCB563",-20.34109667,115.5150517,20141030,"7:39:00","N.Montebello.Sanctuary","No-take",11,11.7,"ET","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2014-10_Montebello.sanctuaries_stereoBRUVs","NCB564",-20.342325,115.52405,20141030,"7:46:00","N.Montebello.Sanctuary","No-take",11,10.9,"ET","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2014-10_Montebello.sanctuaries_stereoBRUVs","NCB565",-20.345615,115.5346833,20141030,"7:52:00","N.Montebello.Sanctuary","No-take",11,12.7,"ET","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2014-10_Montebello.sanctuaries_stereoBRUVs","NCB566",-20.35170167,115.5446517,20141030,"7:56:00","N.Montebello.Sanctuary","No-take",11,9.1,"ET","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2014-10_Montebello.sanctuaries_stereoBRUVs","NCB567",-20.35786333,115.5522567,20141030,"8:00:00","NE.Montebello","Fished",12,10.7,"Matt","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2014-10_Montebello.sanctuaries_stereoBRUVs","NCB568",-20.36466667,115.5617117,20141030,"8:05:00","NE.Montebello","Fished",12,9.8,"Katrina","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2014-10_Montebello.sanctuaries_stereoBRUVs","NCB569",-20.37152,115.5689683,20141030,"8:09:00","NE.Montebello","Fished",12,11.9,"Matt","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2014-10_Montebello.sanctuaries_stereoBRUVs","NCB570",-20.37763333,115.5736667,20141030,"8:12:00","NE.Montebello","Fished",12,9.7,"Katrina","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2014-10_Montebello.sanctuaries_stereoBRUVs","NCB571",-20.381915,115.5774317,20141030,"9:39:00","NE.Montebello","Fished",12,12.1,"Matt","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2014-10_Montebello.sanctuaries_stereoBRUVs","NCB572",-20.38769167,115.581155,20141030,"9:44:00","NE.Montebello","Fished",13,11.9,"Katrina","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2014-10_Montebello.sanctuaries_stereoBRUVs","NCB573",-20.39332,115.584035,20141030,"9:46:00","NE.Montebello","Fished",13,11.5,"ET","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2014-10_Montebello.sanctuaries_stereoBRUVs","NCB574",-20.39786,115.5876917,20141030,"9:49:00","NE.Montebello","Fished",13,9.3,"ET","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2014-10_Montebello.sanctuaries_stereoBRUVs","NCB575",-20.40385167,115.5895183,20141030,"9:51:00","NE.Montebello","Fished",13,9.7,"ET","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2014-10_Montebello.sanctuaries_stereoBRUVs","NCB576",-20.40757833,115.5935383,20141030,"9:54:00","NE.Montebello","Fished",13,11.8,"ET","Yes","No",NA
"Pilbara Marine Conservation Partnership","2014-10_Montebello.sanctuaries_stereoBRUVs","NCB577",-20.41234333,115.5955617,20141030,"9:56:00","NE.Montebello","Fished",14,11.1,"ET","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2014-10_Montebello.sanctuaries_stereoBRUVs","NCB578",-20.41755667,115.598655,20141030,"10:00:00","NE.Montebello","Fished",14,8.7,"Matt","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2014-10_Montebello.sanctuaries_stereoBRUVs","NCB579",-20.421535,115.6040733,20141030,"10:02:00","NE.Montebello","Fished",14,9.5,"Katrina","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2014-10_Montebello.sanctuaries_stereoBRUVs","NCB580",-20.42809333,115.604955,20141030,"10:05:00","NE.Montebello","Fished",14,10.7,"Matt","Yes","No",NA
"Pilbara Marine Conservation Partnership","2014-10_Montebello.sanctuaries_stereoBRUVs","NCB581",-20.43854333,115.60975,20141030,"11:44:00","SE.Montebello.Sanctuary","No-take",15,11.3,"Matt","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2014-10_Montebello.sanctuaries_stereoBRUVs","NCB582",-20.43864,115.59759,20141030,"11:47:00","SE.Montebello.Sanctuary","No-take",15,11.8,"Katrina","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2014-10_Montebello.sanctuaries_stereoBRUVs","NCB583",-20.43579333,115.5889083,20141030,"11:52:00","SE.Montebello.Sanctuary","No-take",15,9.9,"Katrina","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2014-10_Montebello.sanctuaries_stereoBRUVs","NCB584",-20.44629,115.5859617,20141030,"11:56:00","SE.Montebello.Sanctuary","No-take",15,11.5,"Katrina","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2014-10_Montebello.sanctuaries_stereoBRUVs","NCB585",-20.45501167,115.58639,20141030,"11:59:00","SE.Montebello.Sanctuary","No-take",15,11.5,"Matt","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2014-10_Montebello.sanctuaries_stereoBRUVs","NCB586",-20.46391833,115.5854817,20141030,"12:04:00","SE.Montebello.Sanctuary","No-take",16,11.9,"Matt","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2014-10_Montebello.sanctuaries_stereoBRUVs","NCB587",-20.47206833,115.5801467,20141030,"12:08:00","SE.Montebello.Sanctuary","No-take",16,10.5,"Matt","Yes","No",NA
"Pilbara Marine Conservation Partnership","2014-10_Montebello.sanctuaries_stereoBRUVs","NCB588",-20.47937833,115.575085,20141030,"12:11:00","SE.Montebello.Sanctuary","No-take",16,8.5,"Emma","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2014-10_Montebello.sanctuaries_stereoBRUVs","NCB589",-20.486645,115.5689567,20141030,"12:15:00","SE.Montebello.Sanctuary","No-take",16,11.9,"Emma","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2014-10_Montebello.sanctuaries_stereoBRUVs","NCB590",-20.49486667,115.5635617,20141030,"12:02:00","SE.Montebello.Sanctuary","No-take",16,8.9,"Emma","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2014-10_Montebello.sanctuaries_stereoBRUVs","NCB591",-20.50507167,115.5644133,20141030,"13:49:00","SE.Montebello.Sanctuary","No-take",17,9.2,"Emma","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2014-10_Montebello.sanctuaries_stereoBRUVs","NCB592",-20.51542,115.5650367,20141030,"13:55:00","SE.Montebello.Sanctuary","No-take",17,8.3,"Emma","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2014-10_Montebello.sanctuaries_stereoBRUVs","NCB593",-20.52320833,115.5661433,20141030,"13:58:00","SE.Montebello.Sanctuary","No-take",17,11.3,"Emma","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2014-10_Montebello.sanctuaries_stereoBRUVs","NCB594",-20.53317608,115.5665489,20141030,"14:03:00","SE.Montebello.Sanctuary","No-take",17,9.5,"Emma","Yes","No",NA
"Pilbara Marine Conservation Partnership","2014-10_Montebello.sanctuaries_stereoBRUVs","NCB595",-20.54322,115.5719783,20141030,"14:08:00","SE.Montebello.Sanctuary","No-take",17,10.5,"Emma","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2014-10_Montebello.sanctuaries_stereoBRUVs","NCB596",-20.56196667,115.5803417,20141030,"14:15:00","SE.Montebello","Fished",18,10.4,"Emma","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2014-10_Montebello.sanctuaries_stereoBRUVs","NCB597",-20.57062667,115.5806733,20141030,"14:18:00","SE.Montebello","Fished",18,9.4,"Emma","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2014-10_Montebello.sanctuaries_stereoBRUVs","NCB598",-20.58195167,115.5806933,20141030,"14:24:00","SE.Montebello","Fished",18,8.1,"Emma","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2014-10_Montebello.sanctuaries_stereoBRUVs","NCB599",-20.59034833,115.5799017,20141030,"14:27:00","SE.Montebello","Fished",19,8.6,"Emma","Yes","No",NA
"Pilbara Marine Conservation Partnership","2014-10_Montebello.sanctuaries_stereoBRUVs","NCB600",-20.59953667,115.5771333,20141030,"14:33:00","SE.Montebello","Fished",19,12,"Emma","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2014-10_Montebello.sanctuaries_stereoBRUVs","NCB601",-20.60800333,115.5763633,20141030,"15:44:00","SE.Montebello","Fished",19,11.2,"Emma","Yes","No",NA
"Pilbara Marine Conservation Partnership","2014-10_Montebello.sanctuaries_stereoBRUVs","NCB602",-20.617625,115.5755133,20141030,"15:48:00","SE.Montebello","Fished",19,8.2,"Emma","Yes","No",NA
"Pilbara Marine Conservation Partnership","2014-10_Montebello.sanctuaries_stereoBRUVs","NCB603",-20.61837333,115.5626983,20141030,"15:54:00","SE.Montebello","Fished",19,10.5,"Emma","Yes","No",NA
"Pilbara Marine Conservation Partnership","2014-10_Montebello.sanctuaries_stereoBRUVs","NCB604",-20.61565667,115.5523667,20141030,"15:57:00","SE.Montebello","Fished",19,11.2,"Emma","Yes","No",NA
"Pilbara Marine Conservation Partnership","2014-10_Montebello.sanctuaries_stereoBRUVs","NCB605",-20.61218667,115.5416667,20141030,"16:02:00","SE.Montebello","Fished",19,8,"Emma","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2015-01_Montebello.transect_stereoBRUVs","NCB606",-20.408,115.48192,20150117,"8:45:00","Montebello","Fished",NA,25.7,"Emma","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2015-01_Montebello.transect_stereoBRUVs","NCB607",-20.407,115.47612,20150117,"8:48:00","Montebello","Fished",NA,29,"Emma","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2015-01_Montebello.transect_stereoBRUVs","NCB608",-20.405,115.46842,20150117,"8:56:00","Montebello","Fished",NA,30.4,"Emma","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2015-01_Montebello.transect_stereoBRUVs","NCB609",-20.404,115.45887,20150117,"9:01:00","Montebello","Fished",NA,29.4,"Emma","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2015-01_Montebello.transect_stereoBRUVs","NCB610",-20.402,115.45061,20150117,"9:07:00","Montebello","Fished",NA,23.3,"Emma","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2015-01_Montebello.transect_stereoBRUVs","NCB611",-20.4,115.44188,20150117,"9:12:00","Montebello","Fished",NA,22.6,"Emma","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2015-01_Montebello.transect_stereoBRUVs","NCB612",-20.398,115.43266,20150117,"9:18:00","Montebello","Fished",NA,24.5,"Emma","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2015-01_Montebello.transect_stereoBRUVs","NCB613",-20.396,115.42453,20150117,"9:23:00","Montebello","Fished",NA,26.3,"Emma","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2015-01_Montebello.transect_stereoBRUVs","NCB614",-20.394,115.41624,20150117,"9:27:00","Montebello","Fished",NA,28.3,"Matt/Todd","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2015-01_Montebello.transect_stereoBRUVs","NCB615",-20.392,115.407,20150117,"9:33:00","Montebello","Fished",NA,31.9,"Katrina","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2015-01_Montebello.transect_stereoBRUVs","NCB616",-20.39,115.39678,20150117,"11:26:00","Montebello","Fished",NA,33.1,"Katrina","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2015-01_Montebello.transect_stereoBRUVs","NCB617",-20.386,115.38707,20150117,"11:32:00","Montebello","Fished",NA,36.9,"Katrina","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2015-01_Montebello.transect_stereoBRUVs","NCB618",-20.383,115.37587,20150117,"11:40:00","Montebello","Fished",NA,40.4,"Katrina","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2015-01_Montebello.transect_stereoBRUVs","NCB619",-20.38,115.36088,20150117,"11:46:00","Montebello","Fished",NA,37.3,"Katrina","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2015-01_Montebello.transect_stereoBRUVs","NCB620",-20.376,115.34493,20150117,"11:54:00","Montebello","Fished",NA,41.6,"Katrina","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2015-01_Montebello.transect_stereoBRUVs","NCB621",-20.373,115.33427,20150117,"11:58:00","Montebello","Fished",NA,28.4,"Matt","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2015-01_Montebello.transect_stereoBRUVs","NCB622",-20.372,115.33246,20150117,"12:01:00","Montebello","Fished",NA,41.2,"Matt","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2015-01_Montebello.transect_stereoBRUVs","NCB623",-20.363,115.31109,20150117,"12:09:00","Montebello","Fished",NA,31.5,"Katrina","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2015-01_Montebello.transect_stereoBRUVs","NCB624",-20.359,115.30805,20150117,"12:12:00","Montebello","Fished",NA,21.6,"Todd","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2015-01_Montebello.transect_stereoBRUVs","NCB625",-20.352,115.30709,20150117,"12:16:00","Montebello","Fished",NA,23.5,"Katrina","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2015-01_Montebello.transect_stereoBRUVs","NCB626",-20.346,115.30979,20150117,"14:12:00","Montebello","Fished",NA,29.2,"Katrina","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2015-01_Montebello.transect_stereoBRUVs","NCB627",-20.34,115.30847,20150117,"14:15:00","Montebello","Fished",NA,28.9,"Derek","Yes","No",NA
"Pilbara Marine Conservation Partnership","2015-01_Montebello.transect_stereoBRUVs","NCB628",-20.331,115.30622,20150117,"14:19:00","Montebello","Fished",NA,25.4,"Katrina","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2015-01_Montebello.transect_stereoBRUVs","NCB629",-20.322,115.30126,20150117,"14:24:00","Montebello","Fished",NA,26.3,"Emma","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2015-01_Montebello.transect_stereoBRUVs","NCB630",-20.318,115.29277,20150117,"14:29:00","Montebello","Fished",NA,49.2,"Emma","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2015-01_Montebello.transect_stereoBRUVs","NCB631",-20.314,115.28227,20150117,"14:34:00","Montebello","Fished",NA,53,"Emma","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2015-01_Montebello.transect_stereoBRUVs","NCB632",-20.31,115.26797,20150117,"14:40:00","Montebello","Fished",NA,57.4,"Emma","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2015-01_Montebello.transect_stereoBRUVs","NCB633",-20.305,115.24854,20150117,"14:47:00","Montebello","Fished",NA,57,"Emma","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2015-01_Montebello.transect_stereoBRUVs","NCB634",-20.298,115.2249,20150117,"14:56:00","Montebello","Fished",NA,37,"Emma","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2015-01_Montebello.transect_stereoBRUVs","NCB635",-20.295,115.22048,20150117,"15:00:00","Montebello","Fished",NA,40.1,"Emma","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2015-01_Montebello.transect_stereoBRUVs","NCB636",-20.359,115.46138,20150118,"8:54:00","N.Montebello.Sanctuary","No-take",NA,23.6,"Katrina","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2015-01_Montebello.transect_stereoBRUVs","NCB637",-20.352,115.46682,20150118,"8:58:00","N.Montebello.Sanctuary","No-take",NA,29.4,"Katrina","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2015-01_Montebello.transect_stereoBRUVs","NCB638",-20.347,115.47483,20150118,"9:01:00","N.Montebello.Sanctuary","No-take",NA,32.5,"Katrina","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2015-01_Montebello.transect_stereoBRUVs","NCB639",-20.335,115.47058,20150118,"9:07:00","N.Montebello.Sanctuary","Fished",NA,36.3,"Todd","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2015-01_Montebello.transect_stereoBRUVs","NCB640",-20.327,115.4639,20150118,"9:11:00","N.Montebello.Sanctuary","Fished",NA,42.1,"Todd","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2015-01_Montebello.transect_stereoBRUVs","NCB641",-20.323,115.45317,20150118,"9:16:00","Montebello","Fished",NA,40.2,"Todd","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2015-01_Montebello.transect_stereoBRUVs","NCB642",-20.313,115.45093,20150118,"9:21:00","Montebello","Fished",NA,37,"Todd","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2015-01_Montebello.transect_stereoBRUVs","NCB643",-20.304,115.44852,20150118,"9:25:00","Montebello","Fished",NA,41.7,"Todd","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2015-01_Montebello.transect_stereoBRUVs","NCB644",-20.297,115.44248,20150118,"9:28:00","Montebello","Fished",NA,37.5,"Todd","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2015-01_Montebello.transect_stereoBRUVs","NCB645",-20.287,115.43472,20150118,"9:36:00","Montebello","Fished",NA,41.5,"Todd","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2015-01_Montebello.transect_stereoBRUVs","NCB646",-20.293,115.46864,20150118,"11:40:00","Montebello","Fished",NA,37.9,"Todd","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2015-01_Montebello.transect_stereoBRUVs","NCB647",-20.286,115.47399,20150118,"11:45:00","Montebello","Fished",NA,35.1,"Todd","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2015-01_Montebello.transect_stereoBRUVs","NCB648",-20.275,115.47544,20150118,"11:48:00","Montebello","Fished",NA,36.9,"Todd","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2015-01_Montebello.transect_stereoBRUVs","NCB649",-20.264,115.47558,20150118,"11:54:00","Montebello","Fished",NA,42.4,"Katrina","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2015-01_Montebello.transect_stereoBRUVs","NCB650",-20.255,115.46988,20150118,"11:57:00","Montebello","Fished",NA,40.8,"Katrina","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2015-01_Montebello.transect_stereoBRUVs","NCB651",-20.249,115.46059,20150118,"12:01:00","Montebello","Fished",NA,40.8,"Katrina","Yes","Yes",NA
